1333,1469,1977,1626,1680
1377,1443,1924,1603,1695
1257,1475,1979,1611,1699
1364,1562,1842,1698,1612
1352,1558,1851,1626,1681
1382,1623,1800,1671,1663
1299,1406,1818,1598,1660
1328,1453,1919,1504,1636
1318,1545,1860,1549,1618
1277,1395,1955,1610,1637
1377,1439,1929,1520,1677
1257,1573,1836,1595,1660
1329,1410,1856,1535,1670
1285,1440,1827,1565,1688
1386,1477,1913,1522,1619
1331,1447,1828,1586,1657
1264,1370,1972,1644,1688
1379,1489,1806,1654,1634
1256,1425,1970,1686,1697
1271,1506,1846,1652,1678
1282,1357,1951,1566,1638
1367,1519,1811,1676,1662
1303,1466,1942,1605,1697
1253,1528,1837,1553,1628
1375,1434,1999,1533,1602
1304,1430,1903,1509,1670
1369,1468,1908,1534,1662
1382,1501,1854,1686,1626
1352,1383,1876,1521,1706
1332,1385,1902,1667,1708
1385,1413,1903,1530,1656
1265,1379,1894,1672,1680
1263,1375,1830,1620,1659
1255,1402,1843,1539,1633
1298,1538,1929,1660,1601
1275,1499,1921,1658,1633
1400,1493,1836,1519,1677
1312,1609,1974,1534,1617
1363,1525,1906,1621,1626
1354,1548,1995,1565,1701
1366,1467,1857,1553,1670
1387,1418,1990,1658,1675
1296,1608,1922,1623,1608
1280,1571,1956,1637,1625
1261,1560,1812,1640,1690
1338,1367,1918,1687,1672
1331,1600,1980,1524,1608
1347,1530,1902,1621,1676
1340,1611,1907,1598,1660
1317,1500,1960,1606,1709
1274,1434,1931,1544,1602
1365,1374,1893,1650,1684
1398,1466,1912,1551,1646
1271,1451,1949,1540,1679
1374,1585,1903,1675,1608
1383,1621,1824,1505,1687
1260,1364,1853,1507,1605
1322,1448,1985,1588,1674
1361,1625,1918,1513,1658
1360,1464,1908,1696,1661
1373,1455,1988,1626,1685
1330,1378,1851,1631,1631
1334,1512,1983,1565,1627
1302,1390,1911,1595,1688
1333,1453,1948,1503,1711
1253,1608,1937,1540,1619
1361,1543,1828,1672,1643
1375,1417,1995,1513,1611
1376,1554,1885,1562,1708
1255,1440,1815,1666,1693
1387,1452,1821,1622,1684
1264,1486,1995,1683,1692
1378,1405,1914,1677,1666
1328,1429,1897,1549,1641
1252,1430,1929,1692,1618
1269,1468,1843,1590,1702
1339,1481,1939,1678,1704
1358,1607,1849,1593,1687
1255,1580,1927,1617,1641
1276,1430,1992,1502,1657
1285,1614,1946,1646,1676
1357,1549,1994,1583,1633
1366,1588,1953,1523,1616
1338,1494,1905,1619,1635
1381,1364,1889,1500,1640
1318,1614,1928,1688,1616
1398,1535,1861,1638,1625
1289,1368,1889,1554,1664
1354,1620,1933,1651,1605
1340,1431,1965,1632,1648
1292,1612,1864,1557,1682
1292,1397,1932,1607,1701
1353,1350,1901,1512,1669
1372,1592,1831,1636,1653
1261,1584,1861,1685,1694
1305,1442,1821,1593,1637
1371,1377,1974,1574,1643
1394,1523,1936,1684,1616
1400,1460,1966,1502,1675
1314,1606,1990,1686,1602
